industry_name,industry,year,emp_years_name,emp_years,sexs_name,sexs,WORKERCNT
"기타 기계 및 장비 제조업","C29","2020","5~10","YEARS4","남","1",75569.0
"기타 기계 및 장비 제조업","C29","2020","10~","YEARS5","남","1",77482.0
"기타 기계 및 장비 제조업","C29","2020","~1","YEARS1","여","2",6041.0
"기타 기계 및 장비 제조업","C29","2020","1~3","YEARS2","여","2",13530.0
"기타 기계 및 장비 제조업","C29","2020","3~5","YEARS3","여","2",9650.0
"기타 기계 및 장비 제조업","C29","2020","5~10","YEARS4","여","2",14126.0
"기타 기계 및 장비 제조업","C29","2020","10~","YEARS5","여","2",9918.0
"자동차 및 트레일러 제조업","C30","2020","~1","YEARS1","남","1",31834.0
"자동차 및 트레일러 제조업","C30","2020","1~3","YEARS2","남","1",52524.0
"자동차 및 트레일러 제조업","C30","2020","3~5","YEARS3","남","1",32412.0
"자동차 및 트레일러 제조업","C30","2020","5~10","YEARS4","남","1",53715.0
"자동차 및 트레일러 제조업","C30","2020","10~","YEARS5","남","1",126025.0
"자동차 및 트레일러 제조업","C30","2020","~1","YEARS1","여","2",6336.0
"자동차 및 트레일러 제조업","C30","2020","1~3","YEARS2","여","2",14584.0
"자동차 및 트레일러 제조업","C30","2020","3~5","YEARS3","여","2",8272.0
"자동차 및 트레일러 제조업","C30","2020","5~10","YEARS4","여","2",15330.0
"자동차 및 트레일러 제조업","C30","2020","10~","YEARS5","여","2",14322.0
"기타 운송장비 제조업","C31","2020","~1","YEARS1","남","1",15197.0
"기타 운송장비 제조업","C31","2020","1~3","YEARS2","남","1",20907.0
"기타 운송장비 제조업","C31","2020","3~5","YEARS3","남","1",12285.0
"기타 운송장비 제조업","C31","2020","5~10","YEARS4","남","1",15351.0
"기타 운송장비 제조업","C31","2020","10~","YEARS5","남","1",41576.0
"기타 운송장비 제조업","C31","2020","~1","YEARS1","여","2",1521.0
"기타 운송장비 제조업","C31","2020","1~3","YEARS2","여","2",3411.0
"기타 운송장비 제조업","C31","2020","3~5","YEARS3","여","2",1125.0
"기타 운송장비 제조업","C31","2020","5~10","YEARS4","여","2",3645.0
"기타 운송장비 제조업","C31","2020","10~","YEARS5","여","2",3641.0
"가구 제조업","C32","2020","~1","YEARS1","남","1",6108.0
"가구 제조업","C32","2020","1~3","YEARS2","남","1",10343.0
"가구 제조업","C32","2020","3~5","YEARS3","남","1",4484.0
"가구 제조업","C32","2020","5~10","YEARS4","남","1",5427.0
"가구 제조업","C32","2020","10~","YEARS5","남","1",3853.0
"가구 제조업","C32","2020","~1","YEARS1","여","2",1064.0
"가구 제조업","C32","2020","1~3","YEARS2","여","2",2616.0
"가구 제조업","C32","2020","3~5","YEARS3","여","2",1108.0
