,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용자 제한,lat,lng
494,차지비,부산광역시 블루핸즈(구포점),1,AC완속,부산광역시,북구,부산광역시 북구 백양대로1064번길 4 주차장,제한없음,35.19975011,128.9976188
495,차지비,부산광역시 이마트(금정점),1,AC완속,부산광역시,금정구,부산광역시 금정구 중앙대로1841번길 24 본관3층 F68구역,제한없음,35.24993665,129.0905919
496,차지비,부산광역시 이마트(문현점),1,AC완속,부산광역시,남구,부산광역시 남구 전포대로91번길 47 본관4층 E구역,제한없음,35.1443054,129.0642386
497,차지비,부산광역시 이마트(해운대점),1,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 511 본관4층 F구역,제한없음,35.16602082,129.1673738
498,차지비,부산광역시 이마트(해운대점),2,AC완속,부산광역시,해운대구,부산광역시 해운대구 좌동순환로 511 본관4층 F구역,제한없음,35.16602082,129.1673738
499,차지비,부산광역시 이마트TR(서면점),1,AC완속,부산광역시,부산진구,부산광역시 부산진구 새싹로 81 본관4층 E구역,제한없음,35.16390047,129.0525465
500,차지비,부산광역시 이마트TR(서면점),2,AC완속,부산광역시,부산진구,부산광역시 부산진구 새싹로 81 본관4층 E구역,제한없음,35.16390047,129.0525465
501,차지비,부산대학병원,1,AC완속,부산광역시,서구,"부산광역시 서구 구덕로 179 (아미동1가, 부산대학병원)(10-1 (부산대학병원))",제한없음,35.10105499,129.0192223
502,차지비,부산대학병원,2,AC완속,부산광역시,서구,"부산광역시 서구 구덕로 179 (아미동1가, 부산대학병원)(10-1 (부산대학병원))",제한없음,35.10105499,129.0192223
503,차지비,부산대학병원,3,AC완속,부산광역시,서구,"부산광역시 서구 구덕로 179 (아미동1가, 부산대학병원)(10-1 (부산대학병원))",제한없음,35.10105499,129.0192223
504,차지비,부산대학병원,4,AC완속,부산광역시,서구,"부산광역시 서구 구덕로 179 (아미동1가, 부산대학병원)(10-1 (부산대학병원))",제한없음,35.10105499,129.0192223
505,차지비,부산동래 SK VIEW(에스케이뷰아파트),1,AC완속,부산광역시,동래구,"부산광역시 동래구 중앙대로1381번길 52 (온천동, 동래SKVIEW아파트)(758-12 (동래SKVIEW아파트))",제한없음,35.21159212,129.0756826
506,차지비,부산동래 SK VIEW(에스케이뷰아파트),2,AC완속,부산광역시,동래구,"부산광역시 동래구 중앙대로1381번길 52 (온천동, 동래SKVIEW아파트)(758-12 (동래SKVIEW아파트))",제한없음,35.21159212,129.0756826
507,차지비,부산동래 SK VIEW(에스케이뷰아파트),3,AC완속,부산광역시,동래구,"부산광역시 동래구 중앙대로1381번길 52 (온천동, 동래SKVIEW아파트)(758-12 (동래SKVIEW아파트))",제한없음,35.21159212,129.0756826
508,차지비,부산동래 SK VIEW(에스케이뷰아파트),4,AC완속,부산광역시,동래구,"부산광역시 동래구 중앙대로1381번길 52 (온천동, 동래SKVIEW아파트)(758-12 (동래SKVIEW아파트))",제한없음,35.21159212,129.0756826
509,차지비,부산사상경찰서,1,AC완속,부산광역시,사상구,부산광역시 사상구 학감대로 264 (감전동     부산사상경찰서),제한없음,35.15434599,128.9913937
510,차지비,부산시 강서구 대명프라자,1,AC완속,부산광역시,강서구,부산광역시 강서구 명지국제8로10번길 12B1(명지동 3589-8 B1),제한없음,35.09216422,128.9021637
511,차지비,부산시 강서구 대명프라자,2,AC완속,부산광역시,강서구,부산광역시 강서구 명지국제8로10번길 12B1(명지동 3589-8 B1),제한없음,35.09216422,128.9021637
512,차지비,부산시 강서구 부산연구개발특구본부,1,AC완속,부산광역시,강서구,부산광역시 강서구 미음산단5로41번길 71주차장,제한없음,35.16176498,128.8676011
513,차지비,부산시 강서구 부산연구개발특구본부,2,AC완속,부산광역시,강서구,부산광역시 강서구 미음산단5로41번길 71주차장,제한없음,35.16176498,128.8676011
514,차지비,부산시 강서구 부산연구개발특구본부,3,AC완속,부산광역시,강서구,부산광역시 강서구 미음산단5로41번길 71주차장,제한없음,35.16176498,128.8676011
515,차지비,부산시 고신대학교,1,AC완속,부산광역시,영도구,부산광역시 영도구 와치로 194 주차장,제한없음,35.07946942,129.0621819
516,차지비,부산시 기장군 늘봄모텔,1,AC완속,부산광역시,기장군,부산광역시 기장군 일광면 삼성3길 53-3,제한없음,35.26581128,129.2339975
517,차지비,부산시 기장군 늘봄모텔,2,AC완속,부산광역시,기장군,부산광역시 기장군 일광면 삼성3길 53-3,제한없음,35.26581128,129.2339975
518,차지비,부산시 남구 중앙레포츠,1,AC완속,부산광역시,남구,부산광역시 남구 용호로 64주차장 오른쪽 끝,제한없음,35.12560981,129.1106327
519,차지비,부산시 남구 중앙레포츠,2,AC완속,부산광역시,남구,부산광역시 남구 용호로 64주차장 오른쪽 끝,제한없음,35.12560981,129.1106327
520,차지비,부산시 동래구 국제파크아파트,1,AC완속,부산광역시,동래구,부산광역시 동래구 충렬사로 81B2(26-24 국제파크아파트 B2),제한없음,35.20579785,129.1002258
521,차지비,부산시 동래구 국제파크아파트,2,AC완속,부산광역시,동래구,부산광역시 동래구 충렬사로 81B2(26-24 국제파크아파트 B2),제한없음,35.20579785,129.1002258
522,차지비,부산시 동래구 국제파크아파트,3,AC완속,부산광역시,동래구,부산광역시 동래구 충렬사로 81B2(26-24 국제파크아파트 B2),제한없음,35.20579785,129.1002258
523,차지비,부산시 동래구 국제파크아파트,4,AC완속,부산광역시,동래구,부산광역시 동래구 충렬사로 81B2(26-24 국제파크아파트 B2),제한없음,35.20579785,129.1002258
524,차지비,부산시 동래구 안락역,1,AC완속,부산광역시,동래구,부산광역시 동래구 복천동 381,제한없음,35.20506223,129.0836725
525,차지비,부산시 부경대학교,1,AC완속,부산광역시,남구,부산광역시 남구 신선로 365 주차장,제한없음,35.11599049,129.0894348
526,차지비,부산시 부경대학교,2,AC완속,부산광역시,남구,부산광역시 남구 신선로 365 주차장,제한없음,35.11599049,129.0894348
527,차지비,부산시 부경대학교,3,AC완속,부산광역시,남구,부산광역시 남구 신선로 365 주차장,제한없음,35.11599049,129.0894348
528,차지비,부산시 부산교육대학교,1,AC완속,부산광역시,연제구,부산광역시 연제구 교대로 24 주차장,제한없음,35.19569321,129.0770825
529,차지비,부산시 부산교육대학교,2,AC완속,부산광역시,연제구,부산광역시 연제구 교대로 24 주차장,제한없음,35.19569321,129.0770825
530,차지비,부산시 부산교육대학교,3,AC완속,부산광역시,연제구,부산광역시 연제구 교대로 24 주차장,제한없음,35.19569321,129.0770825
